time [s],pos_x [m],pos_y [m],pos_z [m],vel_x [m/s],vel_y [m/s],vel_z [m/s],acc_x [m/s^2],acc_y [m/s^2],acc_z [m/s^2],mass [kg],dens [kg/m^3],pres [Pa],ene [J/kg],sml [m],id,neighbor,alpha,gradh
0,-0.0952639,0.323093,0,0,0,0,0,0,0,0.00310059,0.979658,0.966328,1.47959,4.81221e+233,113,83886081,3.01293e-314,2.1026e-297
0,0.266701,0.208204,0,0,0,0,0,0,0,0.00310059,0.979541,0.966134,1.47947,4.81221e+233,114,83886081,3.01293e-314,2.1026e-297
0,-0.327253,0.0916635,0,0,0,0,0,0,0,0.00310059,0.979423,0.96594,1.47935,4.81221e+233,115,83886081,3.01293e-314,2.1026e-297
0,0.06724,0.334635,0,0,0,0,0,0,0,0.00310059,0.979305,0.965747,1.47923,4.81221e+233,116,83886081,3.01293e-314,2.1026e-297
0,-0.29669,0.171684,0,0,0,0,0,0,0,0.00310059,0.979188,0.965555,1.47912,4.81221e+233,117,83886081,3.01293e-314,2.1026e-297
0,0.255745,-0.230428,0,0,0,0,0,0,0,0.00310059,0.979071,0.965362,1.479,4.81221e+233,118,83886081,3.01293e-314,2.1026e-297
0,-0.155676,0.308666,0,0,0,0,0,0,0,0.00310059,0.978954,0.96517,1.47888,4.81221e+233,119,83886081,3.01293e-314,2.1026e-297
0,0.24993,0.240947,0,0,0,0,0,0,0,0.00310059,0.978837,0.964977,1.47876,4.81221e+233,120,83886081,3.01293e-314,2.1026e-297
0,-0.215911,0.273712,0,0,0,0,0,0,0,0.00310059,0.978719,0.964785,1.47864,4.81221e+233,121,83886081,3.01293e-314,2.1026e-297
0,0.291785,-0.193434,0,0,0,0,0,0,0,0.00310059,0.978602,0.964592,1.47853,4.81221e+233,122,83886081,3.01293e-314,2.1026e-297
0,-0.0487238,0.348115,0,0,0,0,0,0,0,0.00310059,0.978486,0.964401,1.47841,4.81221e+233,123,83886081,3.01293e-314,2.1026e-297
0,-0.211568,-0.282484,0,0,0,0,0,0,0,0.00310059,0.978369,0.964209,1.47829,4.81221e+233,124,83886081,3.01293e-314,2.1026e-297
0,0.354345,0.00115858,0,0,0,0,0,0,0,0.00310059,0.978253,0.964018,1.47817,4.81221e+233,125,83886081,3.01293e-314,2.1026e-297
0,-0.213732,0.284409,0,0,0,0,0,0,0,0.00310059,0.978136,0.963827,1.47806,4.81221e+233,126,83886081,3.01293e-314,2.1026e-297
0,-0.12053,0.336235,0,0,0,0,0,0,0,0.00310059,0.97802,0.963636,1.47794,4.81221e+233,127,83886081,3.01293e-314,2.1026e-297
0,0.183212,0.308271,0,0,0,0,0,0,0,0.00310059,0.977904,0.963444,1.47782,4.81221e+233,128,83886081,3.01293e-314,2.1026e-297
0,-0.351797,-0.0765254,0,0,0,0,0,0,0,0.00310059,0.977787,0.963253,1.4777,4.81221e+233,129,83886081,3.01293e-314,2.1026e-297
0,-0.359777,0.0343968,0,0,0,0,0,0,0,0.00310059,0.977671,0.963063,1.47759,4.81221e+233,130,83886081,3.01293e-314,2.1026e-297
0,-0.128377,-0.339327,0,0,0,0,0,0,0,0.00310059,0.977555,0.962873,1.47747,4.81221e+233,131,83886081,3.01293e-314,2.1026e-297
0,-0.0443095,0.361475,0,0,0,0,0,0,0,0.00310059,0.97744,0.962683,1.47735,4.81221e+233,132,83886081,3.01293e-314,2.1026e-297
0,0.01349,0.365313,0,0,0,0,0,0,0,0.00310059,0.977324,0.962493,1.47724,4.81221e+233,133,83886081,3.01293e-314,2.1026e-297
0,0.180219,0.319639,0,0,0,0,0,0,0,0.00310059,0.977208,0.962303,1.47712,4.81221e+233,134,83886081,3.01293e-314,2.1026e-297
0,0.0718245,0.361255,0,0,0,0,0,0,0,0.00310059,0.977092,0.962113,1.477,4.81221e+233,135,83886081,3.01293e-314,2.1026e-297
0,-0.345344,-0.131989,0,0,0,0,0,0,0,0.00310059,0.976977,0.961923,1.47689,4.81221e+233,136,83886081,3.01293e-314,2.1026e-297
0,-0.305374,0.210812,0,0,0,0,0,0,0,0.00310059,0.976861,0.961733,1.47677,4.81221e+233,137,83886081,3.01293e-314,2.1026e-297
0,0.341889,0.147674,0,0,0,0,0,0,0,0.00310059,0.976746,0.961544,1.47665,4.81221e+233,138,83886081,3.01293e-314,2.1026e-297
0,-0.00919415,0.373651,0,0,0,0,0,0,0,0.00310059,0.976631,0.961356,1.47654,4.81221e+233,139,83886081,3.01293e-314,2.1026e-297
0,0.0073623,0.375038,0,0,0,0,0,0,0,0.00310059,0.976516,0.961167,1.47642,4.81221e+233,140,83886081,3.01293e-314,2.1026e-297
0,-0.124613,-0.355234,0,0,0,0,0,0,0,0.00310059,0.9764,0.960978,1.47631,4.81221e+233,141,83886081,3.01293e-314,2.1026e-297
0,-0.0887256,-0.367236,0,0,0,0,0,0,0,0.00310059,0.976285,0.960789,1.47619,4.81221e+233,142,83886081,3.01293e-314,2.1026e-297
0,0.226529,0.304036,0,0,0,0,0,0,0,0.00310059,0.97617,0.9606,1.47607,4.81221e+233,143,83886081,3.01293e-314,2.1026e-297
0,0.380455,-0.00540166,0,0,0,0,0,0,0,0.00310059,0.976055,0.960411,1.47596,4.81221e+233,144,83886081,3.01293e-314,2.1026e-297
0,-0.0401824,0.379686,0,0,0,0,0,0,0,0.00310059,0.97594,0.960223,1.47584,4.81221e+233,145,83886081,3.01293e-314,2.1026e-297
0,0.37899,-0.0560902,0,0,0,0,0,0,0,0.00310059,0.975826,0.960035,1.47573,4.81221e+233,146,83886081,3.01293e-314,2.1026e-297
0,-0.32592,0.203869,0,0,0,0,0,0,0,0.00310059,0.975711,0.959847,1.47561,4.81221e+233,147,83886081,3.01293e-314,2.1026e-297
0,0.377455,0.0795303,0,0,0,0,0,0,0,0.00310059,0.975597,0.95966,1.4755,4.81221e+233,148,83886081,3.01293e-314,2.1026e-297
0,-0.2177,0.320028,0,0,0,0,0,0,0,0.00310059,0.975482,0.959472,1.47538,4.81221e+233,149,83886081,3.01293e-314,2.1026e-297
0,-0.258017,-0.290269,0,0,0,0,0,0,0,0.00310059,0.975368,0.959284,1.47527,4.81221e+233,150,83886081,3.01293e-314,2.1026e-297
0,-0.164353,-0.353324,0,0,0,0,0,0,0,0.00310059,0.975253,0.959096,1.47515,4.81221e+233,151,83886081,3.01293e-314,2.1026e-297
0,-0.383616,-0.075516,0,0,0,0,0,0,0,0.00310059,0.975139,0.958909,1.47503,4.81221e+233,152,83886081,3.01293e-314,2.1026e-297
0,-0.371336,0.126399,0,0,0,0,0,0,0,0.00310059,0.975025,0.958722,1.47492,4.81221e+233,153,83886081,3.01293e-314,2.1026e-297
0,-0.372005,-0.128393,0,0,0,0,0,0,0,0.00310059,0.974911,0.958535,1.4748,4.81221e+233,154,83886081,3.01293e-314,2.1026e-297
0,-0.329724,-0.217172,0,0,0,0,0,0,0,0.00310059,0.974796,0.958348,1.47469,4.81221e+233,155,83886081,3.01293e-314,2.1026e-297
0,0.346076,0.19268,0,0,0,0,0,0,0,0.00310059,0.974682,0.958161,1.47457,4.81221e+233,156,83886081,3.01293e-314,2.1026e-297
0,-0.271395,0.290267,0,0,0,0,0,0,0,0.00310059,0.974568,0.957974,1.47446,4.81221e+233,157,83886081,3.01293e-314,2.1026e-297
0,0.0196302,0.398176,0,0,0,0,0,0,0,0.00310059,0.974454,0.957787,1.47434,4.81221e+233,158,83886081,3.01293e-314,2.1026e-297
0,0.131067,-0.377853,0,0,0,0,0,0,0,0.00310059,0.97434,0.957601,1.47423,4.81221e+233,159,83886081,3.01293e-314,2.1026e-297
0,-0.394237,0.0744332,0,0,0,0,0,0,0,0.00310059,0.974227,0.957414,1.47411,4.81221e+233,160,83886081,3.01293e-314,2.1026e-297
0,0.400271,-0.0418418,0,0,0,0,0,0,0,0.00310059,0.974113,0.957228,1.474,4.81221e+233,161,83886081,3.01293e-314,2.1026e-297
0,-0.32484,0.239696,0,0,0,0,0,0,0,0.00310059,0.973999,0.957042,1.47389,4.81221e+233,162,83886081,3.01293e-314,2.1026e-297
0,0.164163,-0.370184,0,0,0,0,0,0,0,0.00310059,0.973886,0.956856,1.47377,4.81221e+233,163,83886081,3.01293e-314,2.1026e-297
0,0.121499,-0.387604,0,0,0,0,0,0,0,0.00310059,0.973772,0.95667,1.47366,4.81221e+233,164,83886081,3.01293e-314,2.1026e-297
0,0.238005,0.330711,0,0,0,0,0,0,0,0.00310059,0.973659,0.956484,1.47354,4.81221e+233,165,83886081,3.01293e-314,2.1026e-297
0,-0.408158,-0.0210447,0,0,0,0,0,0,0,0.00310059,0.973545,0.956298,1.47343,4.81221e+233,166,83886081,3.01293e-314,2.1026e-297
0,-0.136894,-0.386418,0,0,0,0,0,0,0,0.00310059,0.973432,0.956113,1.47331,4.81221e+233,167,83886081,3.01293e-314,2.1026e-297
0,0.258817,-0.319508,0,0,0,0,0,0,0,0.00310059,0.973318,0.955927,1.4732,4.81221e+233,168,83886081,3.01293e-314,2.1026e-297
